Ay,Dolar,Euro,Altın,Petrol,Beton,Demir,Fiyat,Son Güncelleme Tarihi,Konut Tipi,Mahalle, Net M2,Oda , Salon Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Eşya Durumu,Banyo Sayısı,Cephe,Kira Getirisi,Kullanım Durumu,Aidat,Yakıt Tipi
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.100.000 TL,2024-02-05,Köy Evi,Musluca,230.0,2.0,1.0,3. Kat,20 Yaşında,Soba,Eşyalı,1,,,Boş,,Kömür-Odun
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.850.000 TL,2024-02-06,Daire,İstiklal,90.0,2.0,1.0,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,1,"Doğu, Batı",10.000 TL,Boş,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.300.000 TL,2024-01-20,Daire,Ata,145.0,3.0,1.0,1. Kat,5 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Doğu",6.000 TL,Mülk Sahibi,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.000.000 TL,2024-02-26,Daire,Mimar Sinan,125.0,3.0,1.0,En Üst Kat,9 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Batı",8.000 TL,Mülk Sahibi,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.420.000 TL,2024-01-08,Daire,Efeler,140.0,3.0,1.0,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Batı",20.000 TL,Mülk Sahibi,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,980.000 TL,2024-02-06,Daire,Orta,35.0,1.0,1.0,2. Kat,6 Yaşında,Isıtma Yok,Eşyalı Değil,1,,5.000 TL,Boş,,Elektrik
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.500.000 TL,2024-02-07,Daire,Mesudiye,115.0,2.0,1.0,3. Kat,25 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Batı",,,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.300.000 TL,2024-02-20,Daire,Fatih,90.0,2.0,1.0,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,1,,,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.500.000 TL,2024-02-08,Daire,Güzelhisar,140.0,3.0,1.0,En Üst Kat,30 Yaşında,Kombi,Eşyalı Değil,1,"Doğu, Batı",,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.200.000 TL,2024-02-05,Müstakil Ev,Kızılcaköy,110.0,2.0,1.0,Bahçe Katı,16 Yaşında,Soba,Eşyalı Değil,1,,,Kiracılı,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.150.000 TL,2024-01-16,Daire,Adnan Menderes,130.0,3.0,1.0,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Batı",,Boş,200 TL,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,13.750.000 TL,2024-01-04,Bina,Efeler,100.0,2.0,1.0,2. Kat,20 Yaşında,Kombi,Eşyalı Değil,1,Güney,,,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.400 TL,2023-12-30,Daire,Efeler,185.0,4.0,1.0,En Üst Kat,Sıfır Bina,Kombi,Eşyalı Değil,2,"Doğu, Batı",,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.300.000 TL,2024-02-26,Daire,Efeler,130.0,3.0,1.0,En Üst Kat,12 Yaşında,Kombi,Eşyalı Değil,1,,,,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.500.000 TL,2024-01-10,Daire,Adnan Menderes,320.0,4.0,2.0,En Üst Kat,16 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Güney",,Boş,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.745.000 TL,2024-02-10,Daire,Efeler,95.0,2.0,1.0,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,1,"Doğu, Batı",,Kiracılı,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.150.000 TL,2024-01-25,Daire,Girne,135.0,3.0,1.0,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,2,"Doğu, Batı",18.000 TL,Boş,150 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.800.000 TL,2024-01-08,Daire,Cumhuriyet,55.0,1.0,1.0,4. Kat,2 Yaşında,Kombi,Eşyalı,1,Kuzey,15.000 TL,Kiracılı,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.900.000 TL,2024-02-07,Daire,Güzelhisar,120.0,3.0,1.0,Yüksek Giriş,25 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney",,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.500.000 TL,2024-01-22,Daire,Kurtuluş,140.0,2.0,1.0,5. Kat,5 Yaşında,Kombi,Eşyalı Değil,2,,,Mülk Sahibi,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.700.000 TL,2024-02-05,Daire,Girne,120.0,3.0,1.0,1. Kat,15 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney, Doğu, Batı",,Mülk Sahibi,1 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.275.000 TL,2024-02-01,Daire,Osman Yozgatlı,70.0,2.0,1.0,2. Kat,1 Yaşında,Kombi,Eşyalı Değil,1,Batı,8.000 TL,Boş,,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,1.180.000 TL,2024-02-16,Daire,Köprülü - Veysipaşa,100.0,3.0,1.0,3. Kat,31 Yaşında,Kombi,Eşyalı Değil,1,"Kuzey, Güney",,Boş,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.550.000 TL,2024-02-22,Daire,Güzelhisar,68.0,2.0,0.0,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,1,,,Boş,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.600.000 TL,2024-01-16,Daire,Adnan Menderes,155.0,3.0,1.0,2. Kat,5 Yaşında,Merkezi,Eşyalı Değil,2,"Güney, Doğu",,Boş,600 TL,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,2.750.000 TL,2024-02-26,Daire,Dalama,220.0,4.0,2.0,Teras Katı,5 Yaşında,Klima,Eşyalı Değil,2,,,Boş,,
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,3.300.000 TL,2024-01-12,Daire,Hasanefendi - Ramazan Paşa,170.0,4.0,1.0,2. Kat,15 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Güney",,Belirtilmemiş,100 TL,Doğalgaz
3,31.1231,33.7927,2033.63,80.58,2100,23638.43,4.100.000 TL,2024-01-14,Daire,Fatih,147.0,3.0,1.0,1. Kat,4 Yaşında,Kombi,Eşyalı Değil,2,"Kuzey, Batı",18.000 TL,Boş,750 TL,Doğalgaz
